"Sensitivity_num","Sensitivity_text","Item","proportion","Description","mean","sd","se"
1,"not at all sensitive","SI_1_SSN",0.00827586206896552,"Social Security Number",3.86,0.46,0.01
2,"not too sensitive","SI_1_SSN",0.0186206896551724,"Social Security Number",3.86,0.46,0.01
3,"somewhat sensitive","SI_1_SSN",0.0813793103448276,"Social Security Number",3.86,0.46,0.01
4,"very sensitive","SI_1_SSN",0.891724137931034,"Social Security Number",3.86,0.46,0.01
1,"not at all sensitive","SI_4_phone",0.0324137931034483,"Phone Conversations",3.52,0.77,0.02
2,"not too sensitive","SI_4_phone",0.0772413793103448,"Phone Conversations",3.52,0.77,0.02
3,"somewhat sensitive","SI_4_phone",0.233103448275862,"Phone Conversations",3.52,0.77,0.02
4,"very sensitive","SI_4_phone",0.657241379310345,"Phone Conversations",3.52,0.77,0.02
1,"not at all sensitive","SI_18_credit",0.0337931034482759,"Credit Score",3.44,0.79,0.02
1,"not at all sensitive","SI_30_mental.thoughts",0.0406896551724138,"Thoughts in mind",3.44,0.83,0.02
2,"not too sensitive","SI_18_credit",0.0862068965517241,"Credit Score",3.44,0.79,0.02
2,"not too sensitive","SI_30_mental.thoughts",0.102068965517241,"Thoughts in mind",3.44,0.83,0.02
3,"somewhat sensitive","SI_18_credit",0.282758620689655,"Credit Score",3.44,0.79,0.02
3,"somewhat sensitive","SI_30_mental.thoughts",0.231724137931034,"Thoughts in mind",3.44,0.83,0.02
4,"very sensitive","SI_18_credit",0.597241379310345,"Credit Score",3.44,0.79,0.02
4,"very sensitive","SI_30_mental.thoughts",0.62551724137931,"Thoughts in mind",3.44,0.83,0.02
1,"not at all sensitive","SI_2_health",0.0379310344827586,"Health",3.41,0.81,0.02
1,"not at all sensitive","SI_5_email",0.0372413793103448,"Email Messages",3.41,0.81,0.02
2,"not too sensitive","SI_2_health",0.096551724137931,"Health",3.41,0.81,0.02
2,"not too sensitive","SI_5_email",0.0993103448275862,"Email Messages",3.41,0.81,0.02
3,"somewhat sensitive","SI_2_health",0.280689655172414,"Health",3.41,0.81,0.02
3,"somewhat sensitive","SI_5_email",0.282758620689655,"Email Messages",3.41,0.81,0.02
4,"very sensitive","SI_2_health",0.584827586206897,"Health",3.41,0.81,0.02
4,"very sensitive","SI_5_email",0.580689655172414,"Email Messages",3.41,0.81,0.02
1,"not at all sensitive","SI_7_texts",0.0427586206896552,"Text Messages",3.4,0.84,0.02
2,"not too sensitive","SI_7_texts",0.104827586206897,"Text Messages",3.4,0.84,0.02
3,"somewhat sensitive","SI_7_texts",0.263448275862069,"Text Messages",3.4,0.84,0.02
4,"very sensitive","SI_7_texts",0.588965517241379,"Text Messages",3.4,0.84,0.02
1,"not at all sensitive","SI_29_mental.image",0.0489655172413793,"Images in mind",3.38,0.86,0.02
2,"not too sensitive","SI_29_mental.image",0.109655172413793,"Images in mind",3.38,0.86,0.02
3,"somewhat sensitive","SI_29_mental.image",0.257931034482759,"Images in mind",3.38,0.86,0.02
4,"very sensitive","SI_29_mental.image",0.583448275862069,"Images in mind",3.38,0.86,0.02
1,"not at all sensitive","SI_6_location",0.0324137931034483,"Location",3.35,0.81,0.02
2,"not too sensitive","SI_6_location",0.115862068965517,"Location",3.35,0.81,0.02
3,"somewhat sensitive","SI_6_location",0.319310344827586,"Location",3.35,0.81,0.02
4,"very sensitive","SI_6_location",0.532413793103448,"Location",3.35,0.81,0.02
1,"not at all sensitive","SI_8_numbers",0.0531034482758621,"Phone Numbers Called/Texted",3.27,0.89,0.02
2,"not too sensitive","SI_8_numbers",0.135862068965517,"Phone Numbers Called/Texted",3.27,0.89,0.02
3,"somewhat sensitive","SI_8_numbers",0.302758620689655,"Phone Numbers Called/Texted",3.27,0.89,0.02
4,"very sensitive","SI_8_numbers",0.508275862068965,"Phone Numbers Called/Texted",3.27,0.89,0.02
1,"not at all sensitive","SI_25_brain.health",0.0593103448275862,"Brain Health",3.23,0.9,0.02
2,"not too sensitive","SI_25_brain.health",0.137931034482759,"Brain Health",3.23,0.9,0.02
3,"somewhat sensitive","SI_25_brain.health",0.312413793103448,"Brain Health",3.23,0.9,0.02
4,"very sensitive","SI_25_brain.health",0.490344827586207,"Brain Health",3.23,0.9,0.02
1,"not at all sensitive","SI_10_relationship",0.0627586206896552,"Relationship History",3.18,0.91,0.02
1,"not at all sensitive","SI_27_emotion",0.0496551724137931,"Emotions",3.18,0.89,0.02
2,"not too sensitive","SI_10_relationship",0.152413793103448,"Relationship History",3.18,0.91,0.02
2,"not too sensitive","SI_27_emotion",0.171034482758621,"Emotions",3.18,0.89,0.02
3,"somewhat sensitive","SI_10_relationship",0.322068965517241,"Relationship History",3.18,0.91,0.02
3,"somewhat sensitive","SI_27_emotion",0.333793103448276,"Emotions",3.18,0.89,0.02
4,"very sensitive","SI_10_relationship",0.462758620689655,"Relationship History",3.18,0.91,0.02
4,"very sensitive","SI_27_emotion",0.44551724137931,"Emotions",3.18,0.89,0.02
1,"not at all sensitive","SI_24_brainwave",0.0689655172413793,"Brainwaves",3.17,0.94,0.02
2,"not too sensitive","SI_24_brainwave",0.16551724137931,"Brainwaves",3.17,0.94,0.02
3,"somewhat sensitive","SI_24_brainwave",0.292413793103448,"Brainwaves",3.17,0.94,0.02
4,"very sensitive","SI_24_brainwave",0.473103448275862,"Brainwaves",3.17,0.94,0.02
1,"not at all sensitive","SI_28_anxiety",0.0558620689655172,"Anxiety",3.16,0.9,0.02
2,"not too sensitive","SI_28_anxiety",0.166896551724138,"Anxiety",3.16,0.9,0.02
3,"somewhat sensitive","SI_28_anxiety",0.335862068965517,"Anxiety",3.16,0.9,0.02
4,"very sensitive","SI_28_anxiety",0.441379310344828,"Anxiety",3.16,0.9,0.02
1,"not at all sensitive","SI_34_genetic",0.0793103448275862,"Genetic information",3.14,0.96,0.03
2,"not too sensitive","SI_34_genetic",0.157931034482759,"Genetic information",3.14,0.96,0.03
