"ID","Gender","Race","Age","Age_rescale","AgeLvl","Edu","CollegeDegree","Income","IncomeLvl","Marital","PO","EarAdopt","EarAdoptLvl","WearTech","SI_1_SSN","SI_2_health","SI_4_phone","SI_5_email","SI_6_location","SI_7_texts","SI_8_numbers","SI_9_birthdate","SI_10_relationship","SI_11_website","SI_12_search","SI_13_religion","SI_14_friends","SI_15_politics","SI_16_media","SI_17_purchases","SI_18_credit","SI_19_drowsiness","SI_20_alertness","SI_21_focus","SI_22_concentration","SI_24_brainwave","SI_25_brain.health","SI_26_substance","SI_27_emotion","SI_28_anxiety","SI_29_mental.image","SI_30_mental.thoughts","SI_31_intelligence","SI_32_sleep","SI_33_sexual.orientation","SI_34_genetic","SI_35_social.media"
"1374884911","Female","White","25-34",29.5,2,"Graduate/Professional school or beyond ","college degree","$35,000 - $49,999 ",4,"Never married","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"Yes",4,4,4,4,4,3,4,2,4,4,2,4,4,4,3,4,4,4,3,4,4,4,4,2,3,4,3,4,4,4,3,4,4
"1416435122","Female","Asian ","18-24",21,1,"Less than high school","no college degree","Less than $15,000 ",1,"Never married","Other","I am generally the first to try a new technology product ",1,"Yes",4,3,3,3,4,4,4,4,4,4,4,3,3,2,3,4,3,3,4,4,4,4,2,4,4,2,4,4,4,3,3,4,4
"1250937245","Male","White","25-34",29.5,2,"High school graduate or equivalent","no college degree","$15,000 - $24,999 ",2,"Never married","Independent","I am generally the first to try a new technology product ",1,"Yes",1,2,1,2,2,3,2,3,2,2,2,1,4,1,2,3,4,2,2,2,1,3,3,3,2,1,2,4,2,2,3,3,2
"1397277792","Male","White","25-34",29.5,2,"Some college ","no college degree","$50,000 - $74,999 ",5,"Never married","Republican","I am generally the first to try a new technology product ",1,"Yes",3,4,2,2,2,3,2,3,3,3,3,4,2,2,3,4,3,4,4,2,2,3,3,3,3,4,3,3,3,4,3,3,2
"1351583684","Female","White","45-54",49.5,4,"Some college ","no college degree","$50,000 - $74,999 ",5,"Married","Republican","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,2,4,3,3,3,1,1,4,2,2,1,2,2,1,2,4,3,4,4,4,3,2,2,3,4,4,4,1,3,4,3,2
"1368144392","Male","White","65+",70,6,"Graduate/Professional school or beyond ","college degree","More than $200,000",9,"Married","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"No",3,3,4,4,2,4,2,1,3,3,3,3,2,1,2,1,3,2,2,2,2,3,2,2,2,3,4,4,1,2,2,3,1
"1208943294","Male","Black ","35-44",39.5,3,"College graduate","college degree","Less than $15,000 ",1,"Never married","Other","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,1,4,4,4,4,1,4,1,4,1
"1419508729","Female","Black ","25-34",29.5,2,"Some college ","no college degree","$35,000 - $49,999 ",4,"Never married","Independent","I am generally in the middle when it comes to trying a new technology product ",3,"Yes",4,3,3,3,3,2,1,1,2,2,3,3,2,4,1,1,4,3,1,1,1,2,4,3,3,3,3,4,2,1,3,3,1
"1373411591","Female","White","18-24",21,1,"Some college ","no college degree","$15,000 - $24,999 ",2,"Married","Independent","I am generally the first to try a new technology product ",1,"No",4,4,4,3,4,4,4,2,4,2,1,1,1,2,1,1,4,1,1,1,1,4,4,1,1,1,3,4,2,3,3,3,2
"1271842103","Female","White","65+",70,6,"Some college ","no college degree","$35,000 - $49,999 ",4,"Divorced","Democrat","I am generally among the last to try a new technology product",4,"Yes",4,4,3,2,3,3,3,3,3,3,4,2,3,3,3,4,4,3,3,2,3,4,4,4,4,4,4,4,4,3,2,4,2
"1198392169","Male","White","65+",70,6,"Some college ","no college degree","$75,000 - $99,999 ",6,"Married","Republican","I am generally the first to try a new technology product ",1,"No",4,4,3,3,4,3,3,4,4,4,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
"1390197027","Female","White","25-34",29.5,2,"College graduate","college degree","$25,000 - $34,999 ",3,"Never married","Independent","I am generally in the middle when it comes to trying a new technology product ",3,"Yes",4,4,4,4,4,4,4,3,4,3,4,3,3,3,2,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4
"1209399304","Female","White","55-64",59.5,5,"Some college ","no college degree","$75,000 - $99,999 ",6,"Married","Republican","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,2,4,4,1,2,3,3,1,3,3,3,2,3,3,4,4,3,3,3,3,4,4,3,4,3,4,3,2,3,3,4
